,top1,top3,top5,macro_f1,weighted_f1,deployed
Rule-based,0.8116470254728061,0.940995423804317,0.969141052120034,0.7139506267105286,0.8330675371033714,True
Bernoulli Naive Bayes,0.8727979589357308,0.9653140566152351,0.983193617624428,0.8491294802147813,0.8736391867295225,True
Extra Trees (baseline),0.46999149556554487,0.5514923257603369,0.5902482484914753,0.5854702706287603,0.5299901483362424,False
Deep neural network,0.8596565828372413,0.9579435467541408,0.9791236382780545,0.8406084932672522,0.8611346421405913,True
Ensemble,0.8727979589357308,0.9653140566152351,0.983193617624428,0.8491294802147813,0.8736391867295225,True
